OID,protein_name,panel,primary_literature_aligned_pathway_draft,secondary_literature_aligned_pathways_draft,all_literature_aligned_pathways_draft,current_rule_pathways,assignment_basis_summary,why_primary_pathway_draft,review_status,notes_for_reviewer,review_flag
OID01051,BID,Olink ORGAN DAMAGE(v.3311),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","BID is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01424,BLVRB,Olink DEVELOPMENT(v.3511),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Oxidative_redox_hypoxia_stress,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","BLVRB is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Oxidative_redox_hypoxia_stress.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00630,CASP-3,Olink CARDIOVASCULAR III(v.6113),Cell death / cellular stress / proteostasis,Systemic organ injury / leakage / comorbidity markers,Cell death / cellular stress / proteostasis; Systemic organ injury / leakage / comorbidity markers,Apoptosis_cell_death_DNA_damage; Organ_damage_systemic_stress_response,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CASP-3 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage; Organ_damage_systemic_stress_response.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00550,CASP-8,Olink INFLAMMATION(v.3021),Cell death / cellular stress / proteostasis,Systemic organ injury / leakage / comorbidity markers,Cell death / cellular stress / proteostasis; Systemic organ injury / leakage / comorbidity markers,Apoptosis_cell_death_DNA_damage; Organ_damage_systemic_stress_response,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CASP-8 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage; Organ_damage_systemic_stress_response.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID05437,CASP2,Olink ONCOLOGY III(v.4001),Cell death / cellular stress / proteostasis,Systemic organ injury / leakage / comorbidity markers,Cell death / cellular stress / proteostasis; Systemic organ injury / leakage / comorbidity markers,Apoptosis_cell_death_DNA_damage; Organ_damage_systemic_stress_response,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CASP2 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage; Organ_damage_systemic_stress_response.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00709,CDKN1A,Olink ONCOLOGY II(v.7004),Cell death / cellular stress / proteostasis,mTOR / MAPK / NF-kB / growth-survival signaling,Cell death / cellular stress / proteostasis; mTOR / MAPK / NF-kB / growth-survival signaling,Apoptosis_cell_death_DNA_damage; MAPK_PI3K_NFkB_cell_growth_survival,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CDKN1A is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage; MAPK_PI3K_NFkB_cell_growth_survival.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01028,CLSPN,Olink ORGAN DAMAGE(v.3311),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CLSPN is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID05129,CRADD,Olink NEURO EXPLORATORY(v.3911),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CRADD is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00356,CTSC,Olink NEUROLOGY(v.8012),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSC is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00622,CTSD,Olink CARDIOVASCULAR III(v.6113),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSD is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01400,CTSF,Olink DEVELOPMENT(v.3511),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSF is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01171,CTSH,Olink METABOLISM(v.3403),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSH is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00459,CTSL1,Olink CARDIOVASCULAR II(v.5006),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSL1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01125,CTSO,Olink METABOLISM(v.3403),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSO is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00360,CTSS,Olink NEUROLOGY(v.8012),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSS is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00702,CTSV,Olink ONCOLOGY II(v.7004),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSV is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00643,CTSZ,Olink CARDIOVASCULAR III(v.6113),Cell death / cellular stress / proteostasis,Integrin / ECM / cell adhesion / vascular remodeling,Cell death / cellular stress / proteostasis; Integrin / ECM / cell adhesion / vascular remodeling,ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","CTSZ is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: ECM_integrin_fibrosis_tissue_remodeling; Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01323,DDAH1,Olink CELL REGULATION(v.3702),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Oxidative_redox_hypoxia_stress,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DDAH1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Oxidative_redox_hypoxia_stress.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01004,DFFA,Olink IMMUNE RESPONSE(v.3203),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DFFA is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01145,DIABLO,Olink METABOLISM(v.3403),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DIABLO is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01342,DNAJB1,Olink CELL REGULATION(v.3702),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DNAJB1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00956,DPP10,Olink IMMUNE RESPONSE(v.3203),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DPP10 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01266,DPP4,Olink CARDIOMETABOLIC(v.3602),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DPP4 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01047,DPP6,Olink ORGAN DAMAGE(v.3311),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DPP6 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01178,DPP7,Olink METABOLISM(v.3403),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Proteolysis_lysosome_autophagy_proteostasis,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","DPP7 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Proteolysis_lysosome_autophagy_proteostasis.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00972,EGLN1,Olink IMMUNE RESPONSE(v.3203),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Oxidative_redox_hypoxia_stress,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","EGLN1 is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Oxidative_redox_hypoxia_stress.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00691,FADD,Olink ONCOLOGY II(v.7004),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","FADD is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00615,FAS,Olink CARDIOVASCULAR III(v.6113),Cell death / cellular stress / proteostasis,,Cell death / cellular stress / proteostasis,Apoptosis_cell_death_DNA_damage,"apoptosis, oxidative/redox/hypoxia stress, proteolysis, lysosome, autophagy, or proteostasis marker","FAS is provisionally assigned to 'Cell death / cellular stress / proteostasis' because the StrokeCog paper reports cell death and stress-response proteins as elevated with worse mood, and stroke/cognitive-impairment literature supports oxidative and stress biology. Current rule pathways: Apoptosis_cell_death_DNA_damage.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
